date,store_id,product_id,units_demanded,units_sold,units_received,units_in_stock_eod,stockout_flag,promotion_flag
2025-02-23,S01,P001,17,17,0,11,0,0
2025-02-24,S01,P001,9,9,0,2,0,0
2025-02-25,S01,P001,13,2,0,0,1,0
2025-02-26,S01,P001,24,24,109,85,0,1
2025-02-27,S01,P001,12,12,0,73,0,1
2025-02-28,S01,P001,11,11,0,62,0,0
2025-03-01,S01,P001,8,8,0,54,0,0
2025-03-02,S01,P001,14,14,0,40,0,0
2025-03-03,S01,P001,3,3,0,37,0,0
2025-03-04,S01,P001,3,3,0,34,0,0
2025-03-05,S01,P001,10,10,0,24,0,0
2025-03-06,S01,P001,5,5,0,19,0,0
2025-03-07,S01,P001,12,12,109,116,0,0
2025-03-08,S01,P001,14,14,0,102,0,0
2025-03-09,S01,P001,24,24,0,78,0,1
2025-03-10,S01,P001,14,14,0,64,0,0
2025-03-11,S01,P001,2,2,0,62,0,0
2025-03-12,S01,P001,10,10,0,52,0,0
2025-03-13,S01,P001,1,1,0,51,0,0
2025-03-14,S01,P001,12,12,0,39,0,0
2025-03-15,S01,P001,18,18,0,21,0,0
2025-03-16,S01,P001,9,9,0,12,0,0
2025-03-17,S01,P001,7,7,0,5,0,0
2025-03-18,S01,P001,9,5,0,0,1,0
2025-03-19,S01,P001,8,8,109,101,0,0
2025-03-20,S01,P001,16,16,0,85,0,0
2025-03-21,S01,P001,14,14,0,71,0,0
2025-03-22,S01,P001,12,12,0,59,0,0
2025-03-23,S01,P001,10,10,0,49,0,0
2025-03-24,S01,P001,9,9,0,40,0,0
2025-03-25,S01,P001,8,8,0,32,0,0
2025-03-26,S01,P001,7,7,0,25,0,0
2025-03-27,S01,P001,11,11,0,14,0,0
2025-03-28,S01,P001,12,12,0,2,0,0
2025-03-29,S01,P001,10,10,109,101,0,0
2025-03-30,S01,P001,12,12,0,89,0,0
2025-03-31,S01,P001,9,9,0,80,0,0
2025-04-01,S01,P001,9,9,0,71,0,0
2025-04-02,S01,P001,10,10,0,61,0,0
2025-04-03,S01,P001,6,6,0,55,0,0
2025-04-04,S01,P001,17,17,0,38,0,0
2025-04-05,S01,P001,13,13,0,25,0,0
2025-04-06,S01,P001,15,15,0,10,0,0
2025-04-07,S01,P001,9,9,0,1,0,0
2025-04-08,S01,P001,4,1,0,0,1,0
2025-04-09,S01,P001,10,10,109,99,0,0
2025-04-10,S01,P001,12,12,0,87,0,0
2025-04-11,S01,P001,10,10,0,77,0,0
2025-04-12,S01,P001,14,14,0,63,0,0
2025-04-13,S01,P001,17,17,0,46,0,0
2025-04-14,S01,P001,8,8,0,38,0,0
2025-04-15,S01,P001,7,7,0,31,0,0
2025-04-16,S01,P001,13,13,0,18,0,0
2025-04-17,S01,P001,19,18,0,0,1,0
2025-04-18,S01,P001,13,13,109,96,0,0
2025-04-19,S01,P001,14,14,0,82,0,0
2025-04-20,S01,P001,8,8,0,74,0,0
2025-04-21,S01,P001,8,8,0,66,0,0
2025-04-22,S01,P001,9,9,0,57,0,0
2025-04-23,S01,P001,12,12,0,45,0,0
2025-04-24,S01,P001,13,13,0,32,0,0
2025-04-25,S01,P001,6,6,0,26,0,0
2025-04-26,S01,P001,6,6,0,20,0,0
2025-04-27,S01,P001,18,18,0,2,0,1
2025-04-28,S01,P001,10,10,109,101,0,1
2025-04-29,S01,P001,11,11,0,90,0,0
2025-04-30,S01,P001,5,5,0,85,0,0
2025-05-01,S01,P001,12,12,0,73,0,0
2025-05-02,S01,P001,12,12,0,61,0,0
2025-05-03,S01,P001,15,15,0,46,0,0
2025-05-04,S01,P001,20,20,0,26,0,1
2025-05-05,S01,P001,10,10,0,16,0,0
2025-05-06,S01,P001,15,15,0,1,0,1
2025-05-07,S01,P001,8,1,0,0,1,0
2025-05-08,S01,P001,7,7,109,102,0,0
2025-05-09,S01,P001,9,9,0,93,0,0
2025-05-10,S01,P001,7,7,0,86,0,0
2025-05-11,S01,P001,13,13,0,73,0,0
2025-05-12,S01,P001,10,10,0,63,0,0
2025-05-13,S01,P001,8,8,0,55,0,0
2025-05-14,S01,P001,14,14,0,41,0,0
2025-05-15,S01,P001,7,7,0,34,0,0
2025-05-16,S01,P001,17,17,0,17,0,0
2025-05-17,S01,P001,12,12,0,5,0,0
2025-05-18,S01,P001,13,5,0,0,1,0
2025-05-19,S01,P001,14,14,109,95,0,1
2025-05-20,S01,P001,17,17,0,78,0,1
2025-05-21,S01,P001,13,13,0,65,0,0
2025-05-22,S01,P001,12,12,0,53,0,0
2025-05-23,S01,P001,11,11,0,42,0,0
2025-05-24,S01,P001,15,15,0,27,0,0
2025-05-25,S01,P001,12,12,0,15,0,0
2025-05-26,S01,P001,7,7,0,8,0,0
2025-05-27,S01,P001,8,8,0,0,0,0
2025-05-28,S01,P001,6,6,109,103,0,0
2025-05-29,S01,P001,9,9,0,94,0,0
2025-05-30,S01,P001,20,20,0,74,0,0
2025-05-31,S01,P001,15,15,0,59,0,0
2025-06-01,S01,P001,15,15,0,44,0,0
2025-06-02,S01,P001,11,11,0,33,0,0
2025-06-03,S01,P001,9,9,0,24,0,0
2025-06-04,S01,P001,11,11,0,13,0,0
2025-06-05,S01,P001,3,3,0,10,0,0
2025-06-06,S01,P001,6,6,109,113,0,0
2025-06-07,S01,P001,12,12,0,101,0,0
2025-06-08,S01,P001,15,15,0,86,0,0
2025-06-09,S01,P001,14,14,0,72,0,0
2025-06-10,S01,P001,18,18,0,54,0,0
2025-06-11,S01,P001,8,8,0,46,0,0
2025-06-12,S01,P001,11,11,0,35,0,0
2025-06-13,S01,P001,10,10,0,25,0,0
2025-06-14,S01,P001,18,18,0,7,0,0
2025-06-15,S01,P001,17,7,0,0,1,0
2025-06-16,S01,P001,7,7,109,102,0,0
2025-06-17,S01,P001,11,11,0,91,0,0
2025-06-18,S01,P001,11,11,0,80,0,0
2025-06-19,S01,P001,13,13,0,67,0,0
2025-06-20,S01,P001,14,14,0,53,0,0
2025-06-21,S01,P001,18,18,0,35,0,0
2025-06-22,S01,P001,16,16,0,19,0,0
2025-06-23,S01,P001,9,9,0,10,0,0
2025-06-24,S01,P001,19,10,0,0,1,0
2025-06-25,S01,P001,15,0,0,0,1,0
2025-06-26,S01,P001,11,11,109,98,0,0
2025-06-27,S01,P001,9,9,0,89,0,0
2025-06-28,S01,P001,13,13,0,76,0,0
2025-06-29,S01,P001,10,10,0,66,0,0
2025-06-30,S01,P001,11,11,0,55,0,0
2025-07-01,S01,P001,13,13,0,42,0,0
2025-07-02,S01,P001,11,11,0,31,0,0
2025-07-03,S01,P001,10,10,0,21,0,0
2025-07-04,S01,P001,16,16,0,5,0,0
2025-07-05,S01,P001,20,5,0,0,1,0
2025-07-06,S01,P001,14,14,109,95,0,0
2025-07-07,S01,P001,9,9,0,86,0,0
2025-07-08,S01,P001,10,10,0,76,0,0
2025-07-09,S01,P001,9,9,0,67,0,0
2025-07-10,S01,P001,11,11,0,56,0,0
2025-07-11,S01,P001,11,11,0,45,0,0
2025-07-12,S01,P001,16,16,0,29,0,0
2025-07-13,S01,P001,18,18,0,11,0,0
2025-07-14,S01,P001,11,11,0,0,0,0
2025-07-15,S01,P001,11,0,0,0,1,0
2025-07-16,S01,P001,8,8,109,101,0,0
2025-07-17,S01,P001,17,17,0,84,0,0
2025-07-18,S01,P001,11,11,0,73,0,0
2025-07-19,S01,P001,14,14,0,59,0,0
2025-07-20,S01,P001,10,10,0,49,0,0
2025-07-21,S01,P001,18,18,0,31,0,0
2025-07-22,S01,P001,12,12,0,19,0,0
2025-07-23,S01,P001,15,15,0,4,0,0
2025-07-24,S01,P001,15,4,0,0,1,0
2025-07-25,S01,P001,24,0,0,0,1,0
2025-07-26,S01,P001,15,15,109,94,0,0
2025-07-27,S01,P001,18,18,0,76,0,0
2025-07-28,S01,P001,8,8,0,68,0,0
2025-07-29,S01,P001,7,7,0,61,0,0
2025-07-30,S01,P001,6,6,0,55,0,0
2025-07-31,S01,P001,10,10,0,45,0,0
2025-08-01,S01,P001,13,13,0,32,0,0
2025-08-02,S01,P001,18,18,0,14,0,0
2025-08-03,S01,P001,13,13,0,1,0,0
2025-08-04,S01,P001,8,1,0,0,1,0
2025-08-05,S01,P001,6,6,109,103,0,0
2025-08-06,S01,P001,8,8,0,95,0,0
2025-08-07,S01,P001,15,15,0,80,0,0
2025-08-08,S01,P001,11,11,0,69,0,0
2025-08-09,S01,P001,15,15,0,54,0,0
2025-08-10,S01,P001,13,13,0,41,0,0
2025-08-11,S01,P001,12,12,0,29,0,0
2025-08-12,S01,P001,15,15,0,14,0,0
2025-08-13,S01,P001,15,14,0,0,1,0
2025-08-14,S01,P001,15,0,0,0,1,0
2025-08-15,S01,P001,21,21,109,88,0,0
2025-08-16,S01,P001,22,22,0,66,0,0
2025-08-17,S01,P001,12,12,0,54,0,0
2025-08-18,S01,P001,11,11,0,43,0,0
2025-08-19,S01,P001,10,10,0,33,0,0
2025-08-20,S01,P001,8,8,0,25,0,0
2025-08-21,S01,P001,12,12,0,13,0,0
2025-08-22,S01,P001,23,13,0,0,1,0
2025-08-23,S01,P001,18,18,109,91,0,0
2025-08-24,S01,P001,8,8,0,83,0,0
2025-08-25,S01,P001,9,9,0,74,0,0
2025-08-26,S01,P001,9,9,0,65,0,0
2025-08-27,S01,P001,12,12,0,53,0,0
2025-08-28,S01,P001,14,14,0,39,0,0
2025-08-29,S01,P001,6,6,0,33,0,0
2025-08-30,S01,P001,25,25,0,8,0,0
2025-08-31,S01,P001,12,8,0,0,1,0
2025-09-01,S01,P001,6,0,0,0,1,0
2025-09-02,S01,P001,12,12,109,97,0,0
2025-09-03,S01,P001,6,6,0,91,0,0
2025-09-04,S01,P001,12,12,0,79,0,0
2025-09-05,S01,P001,9,9,0,70,0,0
2025-09-06,S01,P001,17,17,0,53,0,0
2025-09-07,S01,P001,16,16,0,37,0,0
2025-09-08,S01,P001,11,11,0,26,0,0
2025-09-09,S01,P001,6,6,0,20,0,0
2025-09-10,S01,P001,13,13,0,7,0,0
2025-09-11,S01,P001,9,7,0,0,1,0
2025-09-12,S01,P001,7,7,109,102,0,0
2025-09-13,S01,P001,15,15,0,87,0,0
2025-09-14,S01,P001,9,9,0,78,0,0
2025-09-15,S01,P001,14,14,0,64,0,0
2025-09-16,S01,P001,15,15,0,49,0,0
2025-09-17,S01,P001,7,7,0,42,0,0
2025-09-18,S01,P001,5,5,0,37,0,0
2025-09-19,S01,P001,23,23,0,14,0,1
2025-09-20,S01,P001,12,12,0,2,0,0
2025-09-21,S01,P001,17,2,0,0,1,0
2025-09-22,S01,P001,10,10,109,99,0,0
2025-09-23,S01,P001,8,8,0,91,0,0
2025-09-24,S01,P001,6,6,0,85,0,0
2025-09-25,S01,P001,6,6,0,79,0,0
2025-09-26,S01,P001,12,12,0,67,0,0
2025-09-27,S01,P001,14,14,0,53,0,0
2025-09-28,S01,P001,16,16,0,37,0,0
2025-09-29,S01,P001,11,11,0,26,0,0
2025-09-30,S01,P001,9,9,0,17,0,0
2025-10-01,S01,P001,13,13,0,4,0,0
2025-10-02,S01,P001,7,4,0,0,1,0
2025-10-03,S01,P001,19,19,109,90,0,1
2025-10-04,S01,P001,8,8,0,82,0,0
2025-10-05,S01,P001,11,11,0,71,0,0
2025-10-06,S01,P001,7,7,0,64,0,0
2025-10-07,S01,P001,9,9,0,55,0,0
2025-10-08,S01,P001,7,7,0,48,0,0
2025-10-09,S01,P001,7,7,0,41,0,0
2025-10-10,S01,P001,17,17,0,24,0,0
2025-10-11,S01,P001,10,10,0,14,0,0
2025-10-12,S01,P001,11,11,0,3,0,0
2025-10-13,S01,P001,6,3,0,0,1,0
2025-10-14,S01,P001,10,10,109,99,0,0
2025-10-15,S01,P001,6,6,0,93,0,0
2025-10-16,S01,P001,12,12,0,81,0,0
2025-10-17,S01,P001,9,9,0,72,0,0
2025-10-18,S01,P001,10,10,0,62,0,0
2025-10-19,S01,P001,16,16,0,46,0,1
2025-10-20,S01,P001,4,4,0,42,0,0
2025-10-21,S01,P001,15,15,0,27,0,0
2025-10-22,S01,P001,8,8,0,19,0,0
2025-10-23,S01,P001,8,8,0,11,0,0
2025-10-24,S01,P001,9,9,109,111,0,0
2025-10-25,S01,P001,10,10,0,101,0,0
2025-10-26,S01,P001,10,10,0,91,0,0
2025-10-27,S01,P001,13,13,0,78,0,0
2025-10-28,S01,P001,6,6,0,72,0,0
2025-10-29,S01,P001,9,9,0,63,0,0
2025-10-30,S01,P001,11,11,0,52,0,0
2025-10-31,S01,P001,16,16,0,36,0,0
2025-11-01,S01,P001,10,10,0,26,0,0
2025-11-02,S01,P001,14,14,0,12,0,0
2025-11-03,S01,P001,28,12,0,0,1,1
2025-11-04,S01,P001,7,0,0,0,1,0
2025-11-05,S01,P001,12,12,109,97,0,0
2025-11-06,S01,P001,19,19,0,78,0,1
2025-11-07,S01,P001,11,11,0,67,0,0
2025-11-08,S01,P001,16,16,0,51,0,0
2025-11-09,S01,P001,19,19,0,32,0,0
2025-11-10,S01,P001,21,21,0,11,0,0
2025-11-11,S01,P001,15,11,0,0,1,0
2025-11-12,S01,P001,12,0,0,0,1,0
2025-11-13,S01,P001,8,0,0,0,1,0
2025-11-14,S01,P001,17,17,109,92,0,0
2025-11-15,S01,P001,14,14,0,78,0,0
2025-11-16,S01,P001,15,15,0,63,0,0
2025-11-17,S01,P001,14,14,0,49,0,0
2025-11-18,S01,P001,14,14,0,35,0,1
2025-11-19,S01,P001,14,14,0,21,0,0
2025-11-20,S01,P001,10,10,0,11,0,0
2025-11-21,S01,P001,6,6,0,5,0,0
2025-11-22,S01,P001,17,5,0,0,1,0
2025-11-23,S01,P001,13,13,109,96,0,0
2025-11-24,S01,P001,10,10,0,86,0,0
2025-11-25,S01,P001,9,9,0,77,0,0
2025-11-26,S01,P001,11,11,0,66,0,0
2025-11-27,S01,P001,9,9,0,57,0,0
2025-11-28,S01,P001,16,16,0,41,0,0
2025-11-29,S01,P001,12,12,0,29,0,0
2025-11-30,S01,P001,21,21,0,8,0,0
2025-12-01,S01,P001,5,5,0,3,0,0
2025-12-02,S01,P001,21,3,0,0,1,1
2025-12-03,S01,P001,16,16,109,93,0,0
2025-12-04,S01,P001,17,17,0,76,0,1
2025-12-05,S01,P001,19,19,0,57,0,0
2025-12-06,S01,P001,22,22,0,35,0,0
2025-12-07,S01,P001,21,21,0,14,0,0
2025-12-08,S01,P001,9,9,0,5,0,0
2025-12-09,S01,P001,12,5,0,0,1,0
2025-12-10,S01,P001,10,0,0,0,1,0
2025-12-11,S01,P001,14,14,109,95,0,0
2025-12-12,S01,P001,20,20,0,75,0,0
2025-12-13,S01,P001,10,10,0,65,0,0
2025-12-14,S01,P001,14,14,0,51,0,0
2025-12-15,S01,P001,8,8,0,43,0,0
2025-12-16,S01,P001,12,12,0,31,0,0
2025-12-17,S01,P001,9,9,0,22,0,0
2025-12-18,S01,P001,11,11,0,11,0,0
2025-12-19,S01,P001,15,11,0,0,1,0
2025-12-20,S01,P001,14,14,109,95,0,0
2025-12-21,S01,P001,34,34,0,61,0,1
2025-12-22,S01,P001,15,15,0,46,0,0
2025-12-23,S01,P001,14,14,0,32,0,0
2025-12-24,S01,P001,13,13,0,19,0,0
2025-12-25,S01,P001,15,15,0,4,0,0
2025-12-26,S01,P001,16,4,0,0,1,0
2025-12-27,S01,P001,13,13,109,96,0,0
2025-12-28,S01,P001,15,15,0,81,0,0
2025-12-29,S01,P001,18,18,0,63,0,1
2025-12-30,S01,P001,13,13,0,50,0,0
2025-12-31,S01,P001,15,15,0,35,0,0
2025-01-01,S01,P002,17,17,0,268,0,0
2025-01-02,S01,P002,17,17,0,251,0,0
2025-01-03,S01,P002,12,12,0,239,0,0
2025-01-04,S01,P002,26,26,0,213,0,0
2025-01-05,S01,P002,22,22,0,191,0,0
2025-01-06,S01,P002,20,20,0,171,0,0
2025-01-07,S01,P002,13,13,0,158,0,0
2025-01-08,S01,P002,12,12,0,146,0,0
2025-01-09,S01,P002,17,17,0,129,0,0
2025-01-10,S01,P002,17,17,0,112,0,0
2025-01-11,S01,P002,16,16,0,96,0,0
2025-01-12,S01,P002,19,19,0,77,0,0
2025-01-13,S01,P002,21,21,0,56,0,0
2025-01-14,S01,P002,15,15,0,41,0,0
2025-01-15,S01,P002,24,24,190,207,0,0
2025-01-16,S01,P002,25,25,0,182,0,0
2025-01-17,S01,P002,19,19,0,163,0,0
2025-01-18,S01,P002,15,15,0,148,0,0
2025-01-19,S01,P002,15,15,0,133,0,0
2025-01-20,S01,P002,12,12,0,121,0,0
2025-01-21,S01,P002,13,13,0,108,0,0
2025-01-22,S01,P002,17,17,0,91,0,0
2025-01-23,S01,P002,19,19,0,72,0,0
2025-01-24,S01,P002,21,21,0,51,0,0
2025-01-25,S01,P002,23,23,0,28,0,0
2025-01-26,S01,P002,17,17,190,201,0,0
2025-01-27,S01,P002,27,27,0,174,0,0
2025-01-28,S01,P002,12,12,0,162,0,0
2025-01-29,S01,P002,13,13,0,149,0,0
2025-01-30,S01,P002,23,23,0,126,0,1
2025-01-31,S01,P002,33,33,0,93,0,1
2025-02-01,S01,P002,23,23,0,70,0,0
2025-02-02,S01,P002,9,9,0,61,0,0
2025-02-03,S01,P002,16,16,0,45,0,0
2025-02-04,S01,P002,15,15,190,220,0,0
2025-02-05,S01,P002,21,21,0,199,0,0
2025-02-06,S01,P002,9,9,0,190,0,0
2025-02-07,S01,P002,30,30,0,160,0,1
2025-02-08,S01,P002,22,22,0,138,0,0
2025-02-09,S01,P002,27,27,0,111,0,0
2025-02-10,S01,P002,13,13,0,98,0,0
2025-02-11,S01,P002,14,14,0,84,0,0
2025-02-12,S01,P002,14,14,0,70,0,0
2025-02-13,S01,P002,20,20,0,50,0,0
2025-02-14,S01,P002,21,21,0,29,0,0
2025-02-15,S01,P002,21,21,190,198,0,0
2025-02-16,S01,P002,20,20,0,178,0,0
2025-02-17,S01,P002,15,15,0,163,0,0
2025-02-18,S01,P002,16,16,0,147,0,0
2025-02-19,S01,P002,14,14,0,133,0,0
2025-02-20,S01,P002,10,10,0,123,0,0
2025-02-21,S01,P002,21,21,0,102,0,0
2025-02-22,S01,P002,22,22,0,80,0,0
2025-02-23,S01,P002,16,16,0,64,0,0
2025-02-24,S01,P002,16,16,0,48,0,0
2025-02-25,S01,P002,20,20,190,218,0,0
2025-02-26,S01,P002,15,15,0,203,0,0
2025-02-27,S01,P002,17,17,0,186,0,0
2025-02-28,S01,P002,25,25,0,161,0,0
2025-03-01,S01,P002,19,19,0,142,0,0
2025-03-02,S01,P002,27,27,0,115,0,0
2025-03-03,S01,P002,15,15,0,100,0,0
2025-03-04,S01,P002,14,14,0,86,0,0
2025-03-05,S01,P002,16,16,0,70,0,0
2025-03-06,S01,P002,20,20,0,50,0,0
2025-03-07,S01,P002,25,25,0,25,0,0
2025-03-08,S01,P002,20,20,190,195,0,0
2025-03-09,S01,P002,23,23,0,172,0,0
2025-03-10,S01,P002,24,24,0,148,0,0
2025-03-11,S01,P002,20,20,0,128,0,0
2025-03-12,S01,P002,14,14,0,114,0,0
2025-03-13,S01,P002,16,16,0,98,0,0
2025-03-14,S01,P002,15,15,0,83,0,0
2025-03-15,S01,P002,19,19,0,64,0,0
2025-03-16,S01,P002,26,26,0,38,0,0
2025-03-17,S01,P002,16,16,0,22,0,0
2025-03-18,S01,P002,13,13,190,199,0,0
2025-03-19,S01,P002,10,10,0,189,0,0
2025-03-20,S01,P002,17,17,0,172,0,0
2025-03-21,S01,P002,19,19,0,153,0,0
2025-03-22,S01,P002,26,26,0,127,0,0
2025-03-23,S01,P002,26,26,0,101,0,0
2025-03-24,S01,P002,14,14,0,87,0,0
2025-03-25,S01,P002,11,11,0,76,0,0
2025-03-26,S01,P002,21,21,0,55,0,1
2025-03-27,S01,P002,10,10,0,45,0,0
2025-03-28,S01,P002,25,25,190,210,0,0
2025-03-29,S01,P002,23,23,0,187,0,0
2025-03-30,S01,P002,13,13,0,174,0,0
2025-03-31,S01,P002,23,23,0,151,0,0
2025-04-01,S01,P002,20,20,0,131,0,0
2025-04-02,S01,P002,14,14,0,117,0,0
2025-04-03,S01,P002,13,13,0,104,0,0
2025-04-04,S01,P002,13,13,0,91,0,0
2025-04-05,S01,P002,18,18,0,73,0,0
2025-04-06,S01,P002,19,19,0,54,0,0
2025-04-07,S01,P002,20,20,0,34,0,0
2025-04-08,S01,P002,13,13,190,211,0,0
2025-04-09,S01,P002,8,8,0,203,0,0
2025-04-10,S01,P002,13,13,0,190,0,0
2025-04-11,S01,P002,15,15,0,175,0,0
2025-04-12,S01,P002,45,45,0,130,0,1
2025-04-13,S01,P002,29,29,0,101,0,1
2025-04-14,S01,P002,22,22,0,79,0,0
2025-04-15,S01,P002,14,14,0,65,0,0
2025-04-16,S01,P002,19,19,0,46,0,0
2025-04-17,S01,P002,16,16,190,220,0,0
2025-04-18,S01,P002,21,21,0,199,0,0
2025-04-19,S01,P002,21,21,0,178,0,0
2025-04-20,S01,P002,19,19,0,159,0,0
2025-04-21,S01,P002,11,11,0,148,0,0
2025-04-22,S01,P002,13,13,0,135,0,0
2025-04-23,S01,P002,20,20,0,115,0,0
2025-04-24,S01,P002,25,25,0,90,0,0
2025-04-25,S01,P002,23,23,0,67,0,0
2025-04-26,S01,P002,23,23,0,44,0,0
2025-04-27,S01,P002,19,19,0,25,0,0
2025-04-28,S01,P002,15,15,190,200,0,0
2025-04-29,S01,P002,9,9,0,191,0,0
2025-04-30,S01,P002,14,14,0,177,0,0
2025-05-01,S01,P002,21,21,0,156,0,1
2025-05-02,S01,P002,17,17,0,139,0,0
2025-05-03,S01,P002,16,16,0,123,0,0
2025-05-04,S01,P002,16,16,0,107,0,0
2025-05-05,S01,P002,14,14,0,93,0,0
2025-05-06,S01,P002,16,16,0,77,0,0
2025-05-07,S01,P002,16,16,0,61,0,0
2025-05-08,S01,P002,12,12,0,49,0,0
2025-05-09,S01,P002,14,14,190,225,0,0
2025-05-10,S01,P002,24,24,0,201,0,0
2025-05-11,S01,P002,18,18,0,183,0,0
2025-05-12,S01,P002,11,11,0,172,0,0
2025-05-13,S01,P002,17,17,0,155,0,0
2025-05-14,S01,P002,9,9,0,146,0,0
2025-05-15,S01,P002,32,32,0,114,0,1
2025-05-16,S01,P002,18,18,0,96,0,0
2025-05-17,S01,P002,17,17,0,79,0,0
2025-05-18,S01,P002,28,28,0,51,0,0
2025-05-19,S01,P002,11,11,0,40,0,0
2025-05-20,S01,P002,21,21,190,209,0,0
2025-05-21,S01,P002,10,10,0,199,0,0
2025-05-22,S01,P002,17,17,0,182,0,0
2025-05-23,S01,P002,20,20,0,162,0,0
2025-05-24,S01,P002,25,25,0,137,0,0
2025-05-25,S01,P002,20,20,0,117,0,0
2025-05-26,S01,P002,18,18,0,99,0,0
2025-05-27,S01,P002,16,16,0,83,0,0
2025-05-28,S01,P002,17,17,0,66,0,0
2025-05-29,S01,P002,12,12,0,54,0,0
2025-05-30,S01,P002,24,24,0,30,0,0
2025-05-31,S01,P002,24,24,190,196,0,0
2025-06-01,S01,P002,18,18,0,178,0,0
2025-06-02,S01,P002,15,15,0,163,0,0
2025-06-03,S01,P002,22,22,0,141,0,0
2025-06-04,S01,P002,12,12,0,129,0,0
2025-06-05,S01,P002,27,27,0,102,0,0
2025-06-06,S01,P002,21,21,0,81,0,0
2025-06-07,S01,P002,20,20,0,61,0,0
2025-06-08,S01,P002,24,24,0,37,0,0
2025-06-09,S01,P002,20,20,190,207,0,0
2025-06-10,S01,P002,20,20,0,187,0,0
2025-06-11,S01,P002,11,11,0,176,0,0
2025-06-12,S01,P002,22,22,0,154,0,0
2025-06-13,S01,P002,26,26,0,128,0,0
2025-06-14,S01,P002,33,33,0,95,0,0
2025-06-15,S01,P002,18,18,0,77,0,0
2025-06-16,S01,P002,21,21,0,56,0,0
2025-06-17,S01,P002,13,13,0,43,0,0
2025-06-18,S01,P002,21,21,190,212,0,0
2025-06-19,S01,P002,27,27,0,185,0,0
2025-06-20,S01,P002,23,23,0,162,0,0
2025-06-21,S01,P002,28,28,0,134,0,0
2025-06-22,S01,P002,31,31,0,103,0,0
2025-06-23,S01,P002,26,26,0,77,0,0
2025-06-24,S01,P002,20,20,0,57,0,0
2025-06-25,S01,P002,13,13,0,44,0,0
2025-06-26,S01,P002,25,25,190,209,0,0
2025-06-27,S01,P002,24,24,0,185,0,0
2025-06-28,S01,P002,28,28,0,157,0,0
2025-06-29,S01,P002,24,24,0,133,0,0
2025-06-30,S01,P002,29,29,0,104,0,0
2025-07-01,S01,P002,22,22,0,82,0,0
2025-07-02,S01,P002,17,17,0,65,0,0
2025-07-03,S01,P002,30,30,0,35,0,0
2025-07-04,S01,P002,28,28,0,7,0,0
2025-07-05,S01,P002,31,31,190,166,0,0
2025-07-06,S01,P002,22,22,0,144,0,0
2025-07-07,S01,P002,17,17,0,127,0,0
2025-07-08,S01,P002,14,14,0,113,0,0
2025-07-09,S01,P002,14,14,0,99,0,0
2025-07-10,S01,P002,20,20,0,79,0,0
